name,config_default,event_name,counter,run_time,time_enabled,run_time_enabled
npb_bt-hardware-cache,w,LLC-store-misses,1812,1525982613,49,99
npb_bt-hardware-cache,w,LLC-loads,13030668,1523012938,49,98
npb_bt-hardware-cache,w,LLC-prefetch-misses,2715,1523983167,50,02
npb_bt-hardware-cache,w,LLC-prefetches,34923006,1523972239,50,02
npb_bt-hardware-cache,w,LLC-store-misses,4051,1523002010,49,98
npb_bt-hardware-cache,w,LLC-loads,13322992,1524454633,50,00
npb_bt-hardware-cache,w,LLC-prefetch-misses,2203,1525032616,50,02
npb_bt-hardware-cache,w,LLC-prefetches,35621744,1524511418,50,00
npb_bt-hardware-cache,w,LLC-store-misses,2228,1523933435,49,98
npb_bt-hardware-cache,w,LLC-stores,19042367,3024319343,100,00
npb_bt-hardware-cache,w,branch-load-misses,84481547,3024319343,100,00
npb_bt-hardware-cache,w,branch-loads,88332849,3024319343,100,00
npb_bt-hardware-cache,w,dTLB-load-misses,133041,3024319343,100,00
npb_bt-hardware-cache,w,LLC-stores,19262719,3025880861,100,00
npb_bt-hardware-cache,w,branch-load-misses,84405563,3025880861,100,00
npb_bt-hardware-cache,w,branch-loads,88332863,3025880861,100,00
npb_bt-hardware-cache,w,dTLB-load-misses,129968,3025880861,100,00
npb_bt-hardware-cache,w,LLC-stores,19170115,3028676941,100,00
npb_bt-hardware-cache,w,branch-load-misses,84360397,3028676941,100,00
npb_bt-hardware-cache,w,branch-loads,88332870,3028676941,100,00
npb_bt-hardware-cache,w,dTLB-load-misses,133875,3028676941,100,00
npb_bt-hardware-cache,w,LLC-stores,19202187,3027268407,100,00
npb_bt-hardware-cache,w,branch-load-misses,84396362,3027268407,100,00
npb_bt-hardware-cache,w,branch-loads,88332859,3027268407,100,00
npb_bt-hardware-cache,w,dTLB-load-misses,167110,3027268407,100,00
npb_bt-hardware-cache,w,LLC-stores,19032716,3025316555,100,00
npb_bt-hardware-cache,w,branch-load-misses,84434426,3025316555,100,00
npb_bt-hardware-cache,w,branch-loads,88332848,3025316555,100,00
npb_bt-hardware-cache,w,dTLB-load-misses,137918,3025316555,100,00
npb_bt-hardware-cache,w,LLC-stores,19035409,3030273682,100,00
npb_bt-hardware-cache,w,branch-load-misses,84457537,3030273682,100,00
npb_bt-hardware-cache,w,branch-loads,88332865,3030273682,100,00
npb_bt-hardware-cache,w,dTLB-load-misses,140242,3030273682,100,00
npb_bt-hardware-cache,w,LLC-stores,19024105,3033595533,100,00
npb_bt-hardware-cache,w,branch-load-misses,84425784,3033595533,100,00
npb_bt-hardware-cache,w,branch-loads,88332860,3033595533,100,00
npb_bt-hardware-cache,w,dTLB-load-misses,131784,3033595533,100,00
npb_bt-hardware-cache,w,LLC-stores,19043258,3031829962,100,00
npb_bt-hardware-cache,w,branch-load-misses,84388759,3031829962,100,00
npb_bt-hardware-cache,w,branch-loads,88332878,3031829962,100,00
npb_bt-hardware-cache,w,dTLB-load-misses,156120,3031829962,100,00
npb_bt-hardware-cache,w,LLC-stores,18837592,3057586840,100,00
npb_bt-hardware-cache,w,branch-load-misses,84375800,3057586840,100,00
npb_bt-hardware-cache,w,branch-loads,88332899,3057586840,100,00
npb_bt-hardware-cache,w,dTLB-load-misses,166163,3057586840,100,00
npb_bt-hardware-cache,w,LLC-stores,19027707,3032043846,100,00
